=== Training LWM ===
[37/150] TrainLoss: 0.005432  ValLoss: 0.005866  Val RMSE: 0.0766  Val NMSE: 0.2059  Val NMSE_dB: -6.863304 dB  TrainTime: 28.65s
[38/150] TrainLoss: 0.005401  ValLoss: 0.005794  Val RMSE: 0.0761  Val NMSE: 0.2031  Val NMSE_dB: -6.922809 dB  TrainTime: 30.39s
[39/150] TrainLoss: 0.005397  ValLoss: 0.005854  Val RMSE: 0.0765  Val NMSE: 0.2055  Val NMSE_dB: -6.871452 dB  TrainTime: 30.52s
[40/150] TrainLoss: 0.005383  ValLoss: 0.005864  Val RMSE: 0.0766  Val NMSE: 0.2056  Val NMSE_dB: -6.869186 dB  TrainTime: 30.50s
[41/150] TrainLoss: 0.005381  ValLoss: 0.005895  Val RMSE: 0.0768  Val NMSE: 0.2072  Val NMSE_dB: -6.835697 dB  TrainTime: 30.78s
[42/150] TrainLoss: 0.005343  ValLoss: 0.005934  Val RMSE: 0.0770  Val NMSE: 0.2087  Val NMSE_dB: -6.803764 dB  TrainTime: 30.46s
[43/150] TrainLoss: 0.005335  ValLoss: 0.005820  Val RMSE: 0.0763  Val NMSE: 0.2042  Val NMSE_dB: -6.899904 dB  TrainTime: 28.20s
[44/150] TrainLoss: 0.005336  ValLoss: 0.005807  Val RMSE: 0.0762  Val NMSE: 0.2041  Val NMSE_dB: -6.901396 dB  TrainTime: 29.06s
[45/150] TrainLoss: 0.005300  ValLoss: 0.006025  Val RMSE: 0.0776  Val NMSE: 0.2124  Val NMSE_dB: -6.729298 dB  TrainTime: 28.38s
[46/150] TrainLoss: 0.005297  ValLoss: 0.006066  Val RMSE: 0.0779  Val NMSE: 0.2134  Val NMSE_dB: -6.708841 dB  TrainTime: 28.09s
[47/150] TrainLoss: 0.005284  ValLoss: 0.005804  Val RMSE: 0.0762  Val NMSE: 0.2036  Val NMSE_dB: -6.912283 dB  TrainTime: 28.49s
[48/150] TrainLoss: 0.005258  ValLoss: 0.005815  Val RMSE: 0.0763  Val NMSE: 0.2043  Val NMSE_dB: -6.896696 dB  TrainTime: 30.13s
[49/150] TrainLoss: 0.005249  ValLoss: 0.005876  Val RMSE: 0.0767  Val NMSE: 0.2062  Val NMSE_dB: -6.856387 dB  TrainTime: 28.96s
[50/150] TrainLoss: 0.005231  ValLoss: 0.005830  Val RMSE: 0.0764  Val NMSE: 0.2040  Val NMSE_dB: -6.903767 dB  TrainTime: 30.61s
[51/150] TrainLoss: 0.005229  ValLoss: 0.006056  Val RMSE: 0.0778  Val NMSE: 0.2137  Val NMSE_dB: -6.701281 dB  TrainTime: 29.51s
[52/150] TrainLoss: 0.005233  ValLoss: 0.005885  Val RMSE: 0.0767  Val NMSE: 0.2066  Val NMSE_dB: -6.848001 dB  TrainTime: 28.83s
[53/150] TrainLoss: 0.005204  ValLoss: 0.005816  Val RMSE: 0.0763  Val NMSE: 0.2038  Val NMSE_dB: -6.908238 dB  TrainTime: 28.29s
[54/150] TrainLoss: 0.005178  ValLoss: 0.005842  Val RMSE: 0.0764  Val NMSE: 0.2047  Val NMSE_dB: -6.889807 dB  TrainTime: 30.15s
[55/150] TrainLoss: 0.005205  ValLoss: 0.005853  Val RMSE: 0.0765  Val NMSE: 0.2049  Val NMSE_dB: -6.883893 dB  TrainTime: 31.06s
[56/150] TrainLoss: 0.005178  ValLoss: 0.005855  Val RMSE: 0.0765  Val NMSE: 0.2059  Val NMSE_dB: -6.863928 dB  TrainTime: 30.75s
[57/150] TrainLoss: 0.005156  ValLoss: 0.005916  Val RMSE: 0.0769  Val NMSE: 0.2079  Val NMSE_dB: -6.822264 dB  TrainTime: 31.15s
[58/150] TrainLoss: 0.005171  ValLoss: 0.005870  Val RMSE: 0.0766  Val NMSE: 0.2055  Val NMSE_dB: -6.871294 dB  TrainTime: 29.10s
