=== MLP Training ===
=== Training MLP ===
[37/1000] TrainLoss: 0.000674  ValLoss: 0.000130  Val RMSE: 0.0114  Val NMSE: 0.0047  Val NMSE_dB: -23.322384 dB  TrainTime: 1.17s
[38/1000] TrainLoss: 0.000682  ValLoss: 0.000112  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.975361 dB  TrainTime: 1.34s
[39/1000] TrainLoss: 0.000677  ValLoss: 0.000131  Val RMSE: 0.0115  Val NMSE: 0.0047  Val NMSE_dB: -23.271343 dB  TrainTime: 1.28s
[40/1000] TrainLoss: 0.000675  ValLoss: 0.000116  Val RMSE: 0.0108  Val NMSE: 0.0042  Val NMSE_dB: -23.815500 dB  TrainTime: 1.18s
[41/1000] TrainLoss: 0.000671  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.134983 dB  TrainTime: 1.18s
[42/1000] TrainLoss: 0.000672  ValLoss: 0.000124  Val RMSE: 0.0111  Val NMSE: 0.0045  Val NMSE_dB: -23.515975 dB  TrainTime: 1.17s
[43/1000] TrainLoss: 0.000676  ValLoss: 0.000109  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.098351 dB  TrainTime: 1.17s
[44/1000] TrainLoss: 0.000666  ValLoss: 0.000102  Val RMSE: 0.0101  Val NMSE: 0.0037  Val NMSE_dB: -24.373505 dB  TrainTime: 1.37s
[45/1000] TrainLoss: 0.000662  ValLoss: 0.000108  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.101554 dB  TrainTime: 1.19s
[46/1000] TrainLoss: 0.000664  ValLoss: 0.000111  Val RMSE: 0.0105  Val NMSE: 0.0040  Val NMSE_dB: -24.005730 dB  TrainTime: 1.19s
[47/1000] TrainLoss: 0.000665  ValLoss: 0.000115  Val RMSE: 0.0107  Val NMSE: 0.0041  Val NMSE_dB: -23.859991 dB  TrainTime: 1.21s
[48/1000] TrainLoss: 0.000663  ValLoss: 0.000101  Val RMSE: 0.0101  Val NMSE: 0.0036  Val NMSE_dB: -24.407757 dB  TrainTime: 1.14s
[49/1000] TrainLoss: 0.000662  ValLoss: 0.000109  Val RMSE: 0.0104  Val NMSE: 0.0039  Val NMSE_dB: -24.091932 dB  TrainTime: 1.13s
[50/1000] TrainLoss: 0.000662  ValLoss: 0.000120  Val RMSE: 0.0110  Val NMSE: 0.0043  Val NMSE_dB: -23.663771 dB  TrainTime: 1.29s
[51/1000] TrainLoss: 0.000662  ValLoss: 0.000113  Val RMSE: 0.0106  Val NMSE: 0.0041  Val NMSE_dB: -23.914522 dB  TrainTime: 1.18s
[52/1000] TrainLoss: 0.000660  ValLoss: 0.000105  Val RMSE: 0.0102  Val NMSE: 0.0038  Val NMSE_dB: -24.252654 dB  TrainTime: 1.18s
[53/1000] TrainLoss: 0.000660  ValLoss: 0.000112  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.977266 dB  TrainTime: 1.15s
[54/1000] TrainLoss: 0.000656  ValLoss: 0.000129  Val RMSE: 0.0114  Val NMSE: 0.0046  Val NMSE_dB: -23.352791 dB  TrainTime: 1.14s
[55/1000] TrainLoss: 0.000661  ValLoss: 0.000124  Val RMSE: 0.0111  Val NMSE: 0.0044  Val NMSE_dB: -23.524147 dB  TrainTime: 1.31s
[56/1000] TrainLoss: 0.000657  ValLoss: 0.000118  Val RMSE: 0.0109  Val NMSE: 0.0042  Val NMSE_dB: -23.737400 dB  TrainTime: 1.21s
[57/1000] TrainLoss: 0.000653  ValLoss: 0.000106  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.212536 dB  TrainTime: 1.13s
[58/1000] TrainLoss: 0.000649  ValLoss: 0.000107  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.156561 dB  TrainTime: 1.10s
[59/1000] TrainLoss: 0.000653  ValLoss: 0.000103  Val RMSE: 0.0101  Val NMSE: 0.0037  Val NMSE_dB: -24.346624 dB  TrainTime: 1.13s
[60/1000] TrainLoss: 0.000652  ValLoss: 0.000105  Val RMSE: 0.0103  Val NMSE: 0.0038  Val NMSE_dB: -24.223756 dB  TrainTime: 1.44s
[61/1000] TrainLoss: 0.000650  ValLoss: 0.000121  Val RMSE: 0.0110  Val NMSE: 0.0044  Val NMSE_dB: -23.612965 dB  TrainTime: 1.22s
[62/1000] TrainLoss: 0.000652  ValLoss: 0.000110  Val RMSE: 0.0105  Val NMSE: 0.0039  Val NMSE_dB: -24.047790 dB  TrainTime: 3.57s
[63/1000] TrainLoss: 0.000651  ValLoss: 0.000097  Val RMSE: 0.0098  Val NMSE: 0.0035  Val NMSE_dB: -24.595142 dB  TrainTime: 1.24s
[64/1000] TrainLoss: 0.000643  ValLoss: 0.000113  Val RMSE: 0.0106  Val NMSE: 0.0040  Val NMSE_dB: -23.936792 dB  TrainTime: 1.40s
[65/1000] TrainLoss: 0.000649  ValLoss: 0.000116  Val RMSE: 0.0108  Val NMSE: 0.0042  Val NMSE_dB: -23.800179 dB  TrainTime: 1.15s
[66/1000] TrainLoss: 0.000646  ValLoss: 0.000111  Val RMSE: 0.0105  Val NMSE: 0.0040  Val NMSE_dB: -24.008879 dB  TrainTime: 1.21s
