=== Training CNN ===
[37/500] TrainLoss: 0.005603  ValLoss: 0.005986  Val RMSE: 0.0774  Val NMSE: 0.2110  Val NMSE_dB: -6.756708 dB  TrainTime: 5.04s
[38/500] TrainLoss: 0.005604  ValLoss: 0.005951  Val RMSE: 0.0771  Val NMSE: 0.2097  Val NMSE_dB: -6.783216 dB  TrainTime: 5.22s
[39/500] TrainLoss: 0.005596  ValLoss: 0.005907  Val RMSE: 0.0769  Val NMSE: 0.2081  Val NMSE_dB: -6.817948 dB  TrainTime: 5.03s
[40/500] TrainLoss: 0.005573  ValLoss: 0.006079  Val RMSE: 0.0780  Val NMSE: 0.2147  Val NMSE_dB: -6.682657 dB  TrainTime: 5.18s
[41/500] TrainLoss: 0.005569  ValLoss: 0.005959  Val RMSE: 0.0772  Val NMSE: 0.2102  Val NMSE_dB: -6.773810 dB  TrainTime: 7.78s
[42/500] TrainLoss: 0.005564  ValLoss: 0.006048  Val RMSE: 0.0778  Val NMSE: 0.2140  Val NMSE_dB: -6.695709 dB  TrainTime: 5.20s
[43/500] TrainLoss: 0.005557  ValLoss: 0.006066  Val RMSE: 0.0779  Val NMSE: 0.2143  Val NMSE_dB: -6.689150 dB  TrainTime: 4.92s
[44/500] TrainLoss: 0.005560  ValLoss: 0.005926  Val RMSE: 0.0770  Val NMSE: 0.2089  Val NMSE_dB: -6.799956 dB  TrainTime: 5.15s
[45/500] TrainLoss: 0.005539  ValLoss: 0.005901  Val RMSE: 0.0768  Val NMSE: 0.2081  Val NMSE_dB: -6.817481 dB  TrainTime: 4.93s
[46/500] TrainLoss: 0.005536  ValLoss: 0.005882  Val RMSE: 0.0767  Val NMSE: 0.2072  Val NMSE_dB: -6.837018 dB  TrainTime: 5.06s
[47/500] TrainLoss: 0.005530  ValLoss: 0.005891  Val RMSE: 0.0768  Val NMSE: 0.2078  Val NMSE_dB: -6.824052 dB  TrainTime: 5.02s
[48/500] TrainLoss: 0.005540  ValLoss: 0.005920  Val RMSE: 0.0769  Val NMSE: 0.2087  Val NMSE_dB: -6.805097 dB  TrainTime: 7.81s
[49/500] TrainLoss: 0.005514  ValLoss: 0.005905  Val RMSE: 0.0768  Val NMSE: 0.2078  Val NMSE_dB: -6.822511 dB  TrainTime: 5.01s
[50/500] TrainLoss: 0.005518  ValLoss: 0.005915  Val RMSE: 0.0769  Val NMSE: 0.2090  Val NMSE_dB: -6.797591 dB  TrainTime: 5.03s
[51/500] TrainLoss: 0.005502  ValLoss: 0.005895  Val RMSE: 0.0768  Val NMSE: 0.2080  Val NMSE_dB: -6.818646 dB  TrainTime: 4.86s
