=== Training CNN ===
[37/1000] TrainLoss: 0.000080  ValLoss: 0.000061  Val RMSE: 0.0078  Val NMSE: 0.0022  Val NMSE_dB: -26.591015 dB  TrainTime: 1.41s
[38/1000] TrainLoss: 0.000096  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.473840 dB  TrainTime: 1.42s
[39/1000] TrainLoss: 0.000091  ValLoss: 0.000077  Val RMSE: 0.0088  Val NMSE: 0.0028  Val NMSE_dB: -25.594954 dB  TrainTime: 1.40s
[40/1000] TrainLoss: 0.000111  ValLoss: 0.000046  Val RMSE: 0.0068  Val NMSE: 0.0016  Val NMSE_dB: -27.858701 dB  TrainTime: 1.41s
[41/1000] TrainLoss: 0.000073  ValLoss: 0.000447  Val RMSE: 0.0211  Val NMSE: 0.0160  Val NMSE_dB: -17.952490 dB  TrainTime: 1.43s
[42/1000] TrainLoss: 0.000059  ValLoss: 0.000070  Val RMSE: 0.0084  Val NMSE: 0.0025  Val NMSE_dB: -26.009799 dB  TrainTime: 1.56s
[43/1000] TrainLoss: 0.000095  ValLoss: 0.000044  Val RMSE: 0.0067  Val NMSE: 0.0016  Val NMSE_dB: -27.973691 dB  TrainTime: 1.47s
[44/1000] TrainLoss: 0.000086  ValLoss: 0.000030  Val RMSE: 0.0055  Val NMSE: 0.0011  Val NMSE_dB: -29.685850 dB  TrainTime: 1.44s
[45/1000] TrainLoss: 0.000058  ValLoss: 0.000100  Val RMSE: 0.0100  Val NMSE: 0.0036  Val NMSE_dB: -24.439186 dB  TrainTime: 1.41s
[46/1000] TrainLoss: 0.000075  ValLoss: 0.000065  Val RMSE: 0.0081  Val NMSE: 0.0023  Val NMSE_dB: -26.316233 dB  TrainTime: 1.41s
[47/1000] TrainLoss: 0.000104  ValLoss: 0.000067  Val RMSE: 0.0082  Val NMSE: 0.0024  Val NMSE_dB: -26.220546 dB  TrainTime: 1.54s
[48/1000] TrainLoss: 0.000052  ValLoss: 0.000176  Val RMSE: 0.0133  Val NMSE: 0.0063  Val NMSE_dB: -21.994904 dB  TrainTime: 3.75s
[49/1000] TrainLoss: 0.000086  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0009  Val NMSE_dB: -30.461851 dB  TrainTime: 1.41s
[50/1000] TrainLoss: 0.000059  ValLoss: 0.000032  Val RMSE: 0.0057  Val NMSE: 0.0012  Val NMSE_dB: -29.383346 dB  TrainTime: 1.39s
[51/1000] TrainLoss: 0.000068  ValLoss: 0.000090  Val RMSE: 0.0095  Val NMSE: 0.0032  Val NMSE_dB: -24.924747 dB  TrainTime: 1.39s
[52/1000] TrainLoss: 0.000083  ValLoss: 0.000082  Val RMSE: 0.0090  Val NMSE: 0.0029  Val NMSE_dB: -25.329078 dB  TrainTime: 1.54s
[53/1000] TrainLoss: 0.000059  ValLoss: 0.000044  Val RMSE: 0.0066  Val NMSE: 0.0016  Val NMSE_dB: -28.067941 dB  TrainTime: 1.41s
[54/1000] TrainLoss: 0.000066  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.406638 dB  TrainTime: 1.39s
[55/1000] TrainLoss: 0.000072  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0015  Val NMSE_dB: -28.203374 dB  TrainTime: 1.40s
[56/1000] TrainLoss: 0.000056  ValLoss: 0.000027  Val RMSE: 0.0052  Val NMSE: 0.0010  Val NMSE_dB: -30.109325 dB  TrainTime: 1.54s
[57/1000] TrainLoss: 0.000078  ValLoss: 0.000099  Val RMSE: 0.0100  Val NMSE: 0.0036  Val NMSE_dB: -24.489465 dB  TrainTime: 1.38s
[58/1000] TrainLoss: 0.000064  ValLoss: 0.000040  Val RMSE: 0.0063  Val NMSE: 0.0014  Val NMSE_dB: -28.416323 dB  TrainTime: 1.39s
[59/1000] TrainLoss: 0.000071  ValLoss: 0.000031  Val RMSE: 0.0056  Val NMSE: 0.0011  Val NMSE_dB: -29.523022 dB  TrainTime: 1.40s
[60/1000] TrainLoss: 0.000060  ValLoss: 0.000063  Val RMSE: 0.0079  Val NMSE: 0.0022  Val NMSE_dB: -26.483299 dB  TrainTime: 1.53s
[61/1000] TrainLoss: 0.000049  ValLoss: 0.000058  Val RMSE: 0.0076  Val NMSE: 0.0021  Val NMSE_dB: -26.798374 dB  TrainTime: 1.40s
[62/1000] TrainLoss: 0.000060  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0015  Val NMSE_dB: -28.170972 dB  TrainTime: 1.41s
[63/1000] TrainLoss: 0.000068  ValLoss: 0.000027  Val RMSE: 0.0052  Val NMSE: 0.0010  Val NMSE_dB: -30.183408 dB  TrainTime: 1.58s
[64/1000] TrainLoss: 0.000075  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0009  Val NMSE_dB: -30.509503 dB  TrainTime: 1.41s
[65/1000] TrainLoss: 0.000044  ValLoss: 0.000031  Val RMSE: 0.0056  Val NMSE: 0.0011  Val NMSE_dB: -29.473373 dB  TrainTime: 1.41s
[66/1000] TrainLoss: 0.000054  ValLoss: 0.000021  Val RMSE: 0.0045  Val NMSE: 0.0007  Val NMSE_dB: -31.307623 dB  TrainTime: 1.39s
[67/1000] TrainLoss: 0.000056  ValLoss: 0.000021  Val RMSE: 0.0046  Val NMSE: 0.0008  Val NMSE_dB: -31.134832 dB  TrainTime: 1.56s
[68/1000] TrainLoss: 0.000052  ValLoss: 0.000059  Val RMSE: 0.0077  Val NMSE: 0.0021  Val NMSE_dB: -26.766744 dB  TrainTime: 1.39s
[69/1000] TrainLoss: 0.000074  ValLoss: 0.000092  Val RMSE: 0.0096  Val NMSE: 0.0033  Val NMSE_dB: -24.811058 dB  TrainTime: 1.39s
[70/1000] TrainLoss: 0.000070  ValLoss: 0.000065  Val RMSE: 0.0080  Val NMSE: 0.0023  Val NMSE_dB: -26.349371 dB  TrainTime: 3.73s
[71/1000] TrainLoss: 0.000041  ValLoss: 0.000119  Val RMSE: 0.0109  Val NMSE: 0.0043  Val NMSE_dB: -23.683190 dB  TrainTime: 1.55s
