=== Training CNN ===
[37/1000] TrainLoss: 0.000034  ValLoss: 0.000052  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.831534 dB  TrainTime: 1.29s
[38/1000] TrainLoss: 0.000051  ValLoss: 0.000060  Val RMSE: 0.0077  Val NMSE: 0.0012  Val NMSE_dB: -29.205426 dB  TrainTime: 1.14s
[39/1000] TrainLoss: 0.000057  ValLoss: 0.000030  Val RMSE: 0.0055  Val NMSE: 0.0006  Val NMSE_dB: -32.140952 dB  TrainTime: 1.20s
[40/1000] TrainLoss: 0.000044  ValLoss: 0.000071  Val RMSE: 0.0084  Val NMSE: 0.0014  Val NMSE_dB: -28.450012 dB  TrainTime: 1.23s
[41/1000] TrainLoss: 0.000048  ValLoss: 0.000051  Val RMSE: 0.0072  Val NMSE: 0.0010  Val NMSE_dB: -29.843295 dB  TrainTime: 1.10s
[42/1000] TrainLoss: 0.000052  ValLoss: 0.000227  Val RMSE: 0.0151  Val NMSE: 0.0046  Val NMSE_dB: -23.402668 dB  TrainTime: 1.29s
[43/1000] TrainLoss: 0.000050  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0008  Val NMSE_dB: -30.732996 dB  TrainTime: 1.13s
[44/1000] TrainLoss: 0.000042  ValLoss: 0.000131  Val RMSE: 0.0114  Val NMSE: 0.0026  Val NMSE_dB: -25.798493 dB  TrainTime: 1.14s
[45/1000] TrainLoss: 0.000047  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0004  Val NMSE_dB: -33.509963 dB  TrainTime: 1.14s
[46/1000] TrainLoss: 0.000050  ValLoss: 0.000794  Val RMSE: 0.0282  Val NMSE: 0.0160  Val NMSE_dB: -17.961739 dB  TrainTime: 1.23s
[47/1000] TrainLoss: 0.000062  ValLoss: 0.000021  Val RMSE: 0.0045  Val NMSE: 0.0004  Val NMSE_dB: -33.828584 dB  TrainTime: 1.44s
[48/1000] TrainLoss: 0.000040  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.208609 dB  TrainTime: 1.17s
[49/1000] TrainLoss: 0.000033  ValLoss: 0.000026  Val RMSE: 0.0051  Val NMSE: 0.0005  Val NMSE_dB: -32.850375 dB  TrainTime: 1.17s
[50/1000] TrainLoss: 0.000045  ValLoss: 0.000105  Val RMSE: 0.0102  Val NMSE: 0.0021  Val NMSE_dB: -26.748620 dB  TrainTime: 1.15s
[51/1000] TrainLoss: 0.000036  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0007  Val NMSE_dB: -31.291943 dB  TrainTime: 1.29s
[52/1000] TrainLoss: 0.000047  ValLoss: 0.000028  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.516175 dB  TrainTime: 1.15s
[53/1000] TrainLoss: 0.000040  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.209014 dB  TrainTime: 1.12s
[54/1000] TrainLoss: 0.000039  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0007  Val NMSE_dB: -31.251497 dB  TrainTime: 1.14s
[55/1000] TrainLoss: 0.000048  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0004  Val NMSE_dB: -33.522893 dB  TrainTime: 1.30s
[56/1000] TrainLoss: 0.000036  ValLoss: 0.000062  Val RMSE: 0.0078  Val NMSE: 0.0012  Val NMSE_dB: -29.062690 dB  TrainTime: 1.16s
[57/1000] TrainLoss: 0.000039  ValLoss: 0.000037  Val RMSE: 0.0061  Val NMSE: 0.0007  Val NMSE_dB: -31.262181 dB  TrainTime: 1.14s
[58/1000] TrainLoss: 0.000037  ValLoss: 0.000082  Val RMSE: 0.0091  Val NMSE: 0.0017  Val NMSE_dB: -27.812577 dB  TrainTime: 0.47s
[59/1000] TrainLoss: 0.000052  ValLoss: 0.000031  Val RMSE: 0.0056  Val NMSE: 0.0006  Val NMSE_dB: -32.070398 dB  TrainTime: 1.12s
[60/1000] TrainLoss: 0.000032  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0005  Val NMSE_dB: -32.903528 dB  TrainTime: 1.12s
