=== Training LWM ===
[37/1000] TrainLoss: 0.000115  ValLoss: 0.000043  Val RMSE: 0.0065  Val NMSE: 0.0015  Val NMSE_dB: -28.163170 dB  TrainTime: 14.02s
[38/1000] TrainLoss: 0.000113  ValLoss: 0.000055  Val RMSE: 0.0074  Val NMSE: 0.0020  Val NMSE_dB: -27.074900 dB  TrainTime: 11.27s
[39/1000] TrainLoss: 0.000118  ValLoss: 0.000051  Val RMSE: 0.0072  Val NMSE: 0.0018  Val NMSE_dB: -27.358864 dB  TrainTime: 12.22s
[40/1000] TrainLoss: 0.000101  ValLoss: 0.000038  Val RMSE: 0.0061  Val NMSE: 0.0013  Val NMSE_dB: -28.705265 dB  TrainTime: 13.82s
[41/1000] TrainLoss: 0.000115  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0008  Val NMSE_dB: -31.016269 dB  TrainTime: 11.45s
[42/1000] TrainLoss: 0.000090  ValLoss: 0.000026  Val RMSE: 0.0051  Val NMSE: 0.0009  Val NMSE_dB: -30.299359 dB  TrainTime: 14.51s
[43/1000] TrainLoss: 0.000089  ValLoss: 0.000030  Val RMSE: 0.0055  Val NMSE: 0.0011  Val NMSE_dB: -29.637464 dB  TrainTime: 11.60s
[44/1000] TrainLoss: 0.000093  ValLoss: 0.000042  Val RMSE: 0.0065  Val NMSE: 0.0015  Val NMSE_dB: -28.241426 dB  TrainTime: 11.83s
[45/1000] TrainLoss: 0.000096  ValLoss: 0.000035  Val RMSE: 0.0059  Val NMSE: 0.0012  Val NMSE_dB: -29.057793 dB  TrainTime: 13.87s
[46/1000] TrainLoss: 0.000079  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0009  Val NMSE_dB: -30.424716 dB  TrainTime: 11.76s
[47/1000] TrainLoss: 0.000108  ValLoss: 0.000022  Val RMSE: 0.0047  Val NMSE: 0.0008  Val NMSE_dB: -30.937739 dB  TrainTime: 11.62s
[48/1000] TrainLoss: 0.000071  ValLoss: 0.000016  Val RMSE: 0.0039  Val NMSE: 0.0006  Val NMSE_dB: -32.527269 dB  TrainTime: 13.88s
[49/1000] TrainLoss: 0.000074  ValLoss: 0.000077  Val RMSE: 0.0088  Val NMSE: 0.0028  Val NMSE_dB: -25.599441 dB  TrainTime: 11.79s
[50/1000] TrainLoss: 0.000071  ValLoss: 0.000011  Val RMSE: 0.0034  Val NMSE: 0.0004  Val NMSE_dB: -33.894732 dB  TrainTime: 11.61s
[51/1000] TrainLoss: 0.000069  ValLoss: 0.000011  Val RMSE: 0.0034  Val NMSE: 0.0004  Val NMSE_dB: -33.871188 dB  TrainTime: 14.06s
