=== MLP Training ===
=== Training MLP ===
[37/500] TrainLoss: 0.005716  ValLoss: 0.005736  Val RMSE: 0.0757  Val NMSE: 0.2023  Val NMSE_dB: -6.939330 dB  TrainTime: 7.35s
[38/500] TrainLoss: 0.005720  ValLoss: 0.005815  Val RMSE: 0.0763  Val NMSE: 0.2050  Val NMSE_dB: -6.883019 dB  TrainTime: 4.73s
[39/500] TrainLoss: 0.005712  ValLoss: 0.005694  Val RMSE: 0.0755  Val NMSE: 0.2006  Val NMSE_dB: -6.977346 dB  TrainTime: 5.60s
[40/500] TrainLoss: 0.005710  ValLoss: 0.005727  Val RMSE: 0.0757  Val NMSE: 0.2017  Val NMSE_dB: -6.953249 dB  TrainTime: 5.13s
[41/500] TrainLoss: 0.005700  ValLoss: 0.005703  Val RMSE: 0.0755  Val NMSE: 0.2008  Val NMSE_dB: -6.971785 dB  TrainTime: 4.72s
[42/500] TrainLoss: 0.005695  ValLoss: 0.005713  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.964980 dB  TrainTime: 4.77s
[43/500] TrainLoss: 0.005696  ValLoss: 0.005710  Val RMSE: 0.0756  Val NMSE: 0.2010  Val NMSE_dB: -6.968333 dB  TrainTime: 4.48s
[44/500] TrainLoss: 0.005692  ValLoss: 0.005701  Val RMSE: 0.0755  Val NMSE: 0.2008  Val NMSE_dB: -6.971886 dB  TrainTime: 7.48s
[45/500] TrainLoss: 0.005682  ValLoss: 0.005736  Val RMSE: 0.0757  Val NMSE: 0.2020  Val NMSE_dB: -6.945745 dB  TrainTime: 4.63s
[46/500] TrainLoss: 0.005676  ValLoss: 0.005724  Val RMSE: 0.0757  Val NMSE: 0.2016  Val NMSE_dB: -6.954956 dB  TrainTime: 4.86s
[47/500] TrainLoss: 0.005670  ValLoss: 0.005740  Val RMSE: 0.0758  Val NMSE: 0.2023  Val NMSE_dB: -6.941096 dB  TrainTime: 4.41s
[48/500] TrainLoss: 0.005671  ValLoss: 0.005723  Val RMSE: 0.0756  Val NMSE: 0.2017  Val NMSE_dB: -6.952536 dB  TrainTime: 4.99s
[49/500] TrainLoss: 0.005664  ValLoss: 0.005760  Val RMSE: 0.0759  Val NMSE: 0.2032  Val NMSE_dB: -6.920749 dB  TrainTime: 4.90s
[50/500] TrainLoss: 0.005676  ValLoss: 0.005704  Val RMSE: 0.0755  Val NMSE: 0.2009  Val NMSE_dB: -6.970287 dB  TrainTime: 4.82s
[51/500] TrainLoss: 0.005654  ValLoss: 0.005715  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.965695 dB  TrainTime: 7.46s
[52/500] TrainLoss: 0.005659  ValLoss: 0.005680  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.989540 dB  TrainTime: 4.76s
[53/500] TrainLoss: 0.005658  ValLoss: 0.005732  Val RMSE: 0.0757  Val NMSE: 0.2019  Val NMSE_dB: -6.948787 dB  TrainTime: 4.70s
[54/500] TrainLoss: 0.005655  ValLoss: 0.005784  Val RMSE: 0.0761  Val NMSE: 0.2036  Val NMSE_dB: -6.911251 dB  TrainTime: 4.50s
[55/500] TrainLoss: 0.005650  ValLoss: 0.005756  Val RMSE: 0.0759  Val NMSE: 0.2027  Val NMSE_dB: -6.930708 dB  TrainTime: 4.78s
[56/500] TrainLoss: 0.005653  ValLoss: 0.005719  Val RMSE: 0.0756  Val NMSE: 0.2015  Val NMSE_dB: -6.958025 dB  TrainTime: 4.55s
[57/500] TrainLoss: 0.005639  ValLoss: 0.005711  Val RMSE: 0.0756  Val NMSE: 0.2014  Val NMSE_dB: -6.960040 dB  TrainTime: 4.98s
[58/500] TrainLoss: 0.005642  ValLoss: 0.005681  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.990107 dB  TrainTime: 7.38s
[59/500] TrainLoss: 0.005638  ValLoss: 0.005725  Val RMSE: 0.0757  Val NMSE: 0.2013  Val NMSE_dB: -6.962116 dB  TrainTime: 5.12s
[60/500] TrainLoss: 0.005634  ValLoss: 0.005701  Val RMSE: 0.0755  Val NMSE: 0.2007  Val NMSE_dB: -6.973555 dB  TrainTime: 4.61s
[61/500] TrainLoss: 0.005636  ValLoss: 0.005715  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.965687 dB  TrainTime: 4.73s
[62/500] TrainLoss: 0.005632  ValLoss: 0.005705  Val RMSE: 0.0755  Val NMSE: 0.2009  Val NMSE_dB: -6.971281 dB  TrainTime: 4.96s
[63/500] TrainLoss: 0.005634  ValLoss: 0.005690  Val RMSE: 0.0754  Val NMSE: 0.2002  Val NMSE_dB: -6.984413 dB  TrainTime: 4.65s
[64/500] TrainLoss: 0.005629  ValLoss: 0.005731  Val RMSE: 0.0757  Val NMSE: 0.2020  Val NMSE_dB: -6.946610 dB  TrainTime: 7.89s
[65/500] TrainLoss: 0.005627  ValLoss: 0.005707  Val RMSE: 0.0755  Val NMSE: 0.2010  Val NMSE_dB: -6.969120 dB  TrainTime: 5.39s
[66/500] TrainLoss: 0.005622  ValLoss: 0.005680  Val RMSE: 0.0754  Val NMSE: 0.1999  Val NMSE_dB: -6.992415 dB  TrainTime: 5.19s
[67/500] TrainLoss: 0.005619  ValLoss: 0.005704  Val RMSE: 0.0755  Val NMSE: 0.2010  Val NMSE_dB: -6.968424 dB  TrainTime: 4.80s
[68/500] TrainLoss: 0.005607  ValLoss: 0.005732  Val RMSE: 0.0757  Val NMSE: 0.2020  Val NMSE_dB: -6.946934 dB  TrainTime: 4.94s
[69/500] TrainLoss: 0.005611  ValLoss: 0.005672  Val RMSE: 0.0753  Val NMSE: 0.2000  Val NMSE_dB: -6.989068 dB  TrainTime: 4.56s
[70/500] TrainLoss: 0.005606  ValLoss: 0.005656  Val RMSE: 0.0752  Val NMSE: 0.1993  Val NMSE_dB: -7.004622 dB  TrainTime: 5.01s
[71/500] TrainLoss: 0.005612  ValLoss: 0.005688  Val RMSE: 0.0754  Val NMSE: 0.2004  Val NMSE_dB: -6.980095 dB  TrainTime: 7.78s
[72/500] TrainLoss: 0.005599  ValLoss: 0.005689  Val RMSE: 0.0754  Val NMSE: 0.1999  Val NMSE_dB: -6.991641 dB  TrainTime: 4.70s
[73/500] TrainLoss: 0.005604  ValLoss: 0.005709  Val RMSE: 0.0756  Val NMSE: 0.2009  Val NMSE_dB: -6.971237 dB  TrainTime: 4.70s
[74/500] TrainLoss: 0.005604  ValLoss: 0.005687  Val RMSE: 0.0754  Val NMSE: 0.2001  Val NMSE_dB: -6.988193 dB  TrainTime: 4.66s
[75/500] TrainLoss: 0.005591  ValLoss: 0.005680  Val RMSE: 0.0754  Val NMSE: 0.1999  Val NMSE_dB: -6.990879 dB  TrainTime: 5.08s
[76/500] TrainLoss: 0.005606  ValLoss: 0.005680  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.989863 dB  TrainTime: 4.64s
[77/500] TrainLoss: 0.005583  ValLoss: 0.005653  Val RMSE: 0.0752  Val NMSE: 0.1989  Val NMSE_dB: -7.014656 dB  TrainTime: 7.54s
[78/500] TrainLoss: 0.005588  ValLoss: 0.005717  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.965378 dB  TrainTime: 4.71s
[79/500] TrainLoss: 0.005585  ValLoss: 0.005706  Val RMSE: 0.0755  Val NMSE: 0.2004  Val NMSE_dB: -6.980867 dB  TrainTime: 4.43s
[80/500] TrainLoss: 0.005588  ValLoss: 0.005730  Val RMSE: 0.0757  Val NMSE: 0.2017  Val NMSE_dB: -6.953595 dB  TrainTime: 4.71s
[81/500] TrainLoss: 0.005588  ValLoss: 0.005688  Val RMSE: 0.0754  Val NMSE: 0.2003  Val NMSE_dB: -6.982178 dB  TrainTime: 4.82s
[82/500] TrainLoss: 0.005590  ValLoss: 0.005704  Val RMSE: 0.0755  Val NMSE: 0.2009  Val NMSE_dB: -6.970821 dB  TrainTime: 4.51s
[83/500] TrainLoss: 0.005577  ValLoss: 0.005678  Val RMSE: 0.0753  Val NMSE: 0.1999  Val NMSE_dB: -6.992243 dB  TrainTime: 5.00s
[84/500] TrainLoss: 0.005587  ValLoss: 0.005673  Val RMSE: 0.0753  Val NMSE: 0.1998  Val NMSE_dB: -6.993347 dB  TrainTime: 7.28s
[85/500] TrainLoss: 0.005577  ValLoss: 0.005686  Val RMSE: 0.0754  Val NMSE: 0.2001  Val NMSE_dB: -6.987536 dB  TrainTime: 5.34s
[86/500] TrainLoss: 0.005571  ValLoss: 0.005722  Val RMSE: 0.0756  Val NMSE: 0.2014  Val NMSE_dB: -6.960315 dB  TrainTime: 5.34s
[87/500] TrainLoss: 0.005571  ValLoss: 0.005666  Val RMSE: 0.0753  Val NMSE: 0.1993  Val NMSE_dB: -7.005195 dB  TrainTime: 5.11s
[88/500] TrainLoss: 0.005575  ValLoss: 0.005668  Val RMSE: 0.0753  Val NMSE: 0.1997  Val NMSE_dB: -6.996820 dB  TrainTime: 4.81s
[89/500] TrainLoss: 0.005570  ValLoss: 0.005694  Val RMSE: 0.0755  Val NMSE: 0.2005  Val NMSE_dB: -6.979380 dB  TrainTime: 5.44s
[90/500] TrainLoss: 0.005569  ValLoss: 0.005752  Val RMSE: 0.0758  Val NMSE: 0.2023  Val NMSE_dB: -6.939606 dB  TrainTime: 4.82s
[91/500] TrainLoss: 0.005558  ValLoss: 0.005715  Val RMSE: 0.0756  Val NMSE: 0.2009  Val NMSE_dB: -6.971053 dB  TrainTime: 8.13s
[92/500] TrainLoss: 0.005570  ValLoss: 0.005701  Val RMSE: 0.0755  Val NMSE: 0.2008  Val NMSE_dB: -6.973037 dB  TrainTime: 4.91s
[93/500] TrainLoss: 0.005577  ValLoss: 0.005690  Val RMSE: 0.0754  Val NMSE: 0.2006  Val NMSE_dB: -6.977718 dB  TrainTime: 5.22s
[94/500] TrainLoss: 0.005567  ValLoss: 0.005676  Val RMSE: 0.0753  Val NMSE: 0.2000  Val NMSE_dB: -6.990489 dB  TrainTime: 5.34s
[95/500] TrainLoss: 0.005573  ValLoss: 0.005691  Val RMSE: 0.0754  Val NMSE: 0.2003  Val NMSE_dB: -6.983478 dB  TrainTime: 4.99s
[96/500] TrainLoss: 0.005562  ValLoss: 0.005712  Val RMSE: 0.0756  Val NMSE: 0.2013  Val NMSE_dB: -6.960623 dB  TrainTime: 6.95s
[97/500] TrainLoss: 0.005568  ValLoss: 0.005666  Val RMSE: 0.0753  Val NMSE: 0.1993  Val NMSE_dB: -7.004466 dB  TrainTime: 8.22s
[98/500] TrainLoss: 0.005555  ValLoss: 0.005680  Val RMSE: 0.0754  Val NMSE: 0.1999  Val NMSE_dB: -6.991763 dB  TrainTime: 4.74s
[99/500] TrainLoss: 0.005553  ValLoss: 0.005693  Val RMSE: 0.0755  Val NMSE: 0.2002  Val NMSE_dB: -6.986081 dB  TrainTime: 5.02s
[100/500] TrainLoss: 0.005561  ValLoss: 0.005672  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998009 dB  TrainTime: 4.77s
[101/500] TrainLoss: 0.005545  ValLoss: 0.005669  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998020 dB  TrainTime: 5.48s
[102/500] TrainLoss: 0.005556  ValLoss: 0.005681  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.989091 dB  TrainTime: 5.49s
[103/500] TrainLoss: 0.005545  ValLoss: 0.005635  Val RMSE: 0.0751  Val NMSE: 0.1983  Val NMSE_dB: -7.026938 dB  TrainTime: 7.52s
[104/500] TrainLoss: 0.005557  ValLoss: 0.005674  Val RMSE: 0.0753  Val NMSE: 0.1997  Val NMSE_dB: -6.996393 dB  TrainTime: 5.19s
[105/500] TrainLoss: 0.005550  ValLoss: 0.005700  Val RMSE: 0.0755  Val NMSE: 0.2006  Val NMSE_dB: -6.977293 dB  TrainTime: 4.63s
[106/500] TrainLoss: 0.005546  ValLoss: 0.005673  Val RMSE: 0.0753  Val NMSE: 0.1998  Val NMSE_dB: -6.994869 dB  TrainTime: 5.14s
[107/500] TrainLoss: 0.005540  ValLoss: 0.005694  Val RMSE: 0.0755  Val NMSE: 0.2005  Val NMSE_dB: -6.978843 dB  TrainTime: 5.11s
[108/500] TrainLoss: 0.005539  ValLoss: 0.005657  Val RMSE: 0.0752  Val NMSE: 0.1992  Val NMSE_dB: -7.006070 dB  TrainTime: 4.84s
[109/500] TrainLoss: 0.005540  ValLoss: 0.005665  Val RMSE: 0.0753  Val NMSE: 0.1994  Val NMSE_dB: -7.003696 dB  TrainTime: 7.78s
[110/500] TrainLoss: 0.005543  ValLoss: 0.005673  Val RMSE: 0.0753  Val NMSE: 0.1999  Val NMSE_dB: -6.991966 dB  TrainTime: 5.07s
[111/500] TrainLoss: 0.005541  ValLoss: 0.005736  Val RMSE: 0.0757  Val NMSE: 0.2016  Val NMSE_dB: -6.954776 dB  TrainTime: 4.44s
[112/500] TrainLoss: 0.005537  ValLoss: 0.005699  Val RMSE: 0.0755  Val NMSE: 0.2006  Val NMSE_dB: -6.976680 dB  TrainTime: 4.71s
[113/500] TrainLoss: 0.005543  ValLoss: 0.005710  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.965866 dB  TrainTime: 4.75s
[114/500] TrainLoss: 0.005543  ValLoss: 0.005685  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.989852 dB  TrainTime: 4.65s
[115/500] TrainLoss: 0.005529  ValLoss: 0.005676  Val RMSE: 0.0753  Val NMSE: 0.1999  Val NMSE_dB: -6.991780 dB  TrainTime: 4.93s
[116/500] TrainLoss: 0.005531  ValLoss: 0.005675  Val RMSE: 0.0753  Val NMSE: 0.1997  Val NMSE_dB: -6.996431 dB  TrainTime: 7.52s
[117/500] TrainLoss: 0.005536  ValLoss: 0.005673  Val RMSE: 0.0753  Val NMSE: 0.1995  Val NMSE_dB: -7.000221 dB  TrainTime: 4.88s
[118/500] TrainLoss: 0.005529  ValLoss: 0.005674  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998092 dB  TrainTime: 4.92s
[119/500] TrainLoss: 0.005525  ValLoss: 0.005675  Val RMSE: 0.0753  Val NMSE: 0.2000  Val NMSE_dB: -6.989664 dB  TrainTime: 4.66s
[120/500] TrainLoss: 0.005535  ValLoss: 0.005672  Val RMSE: 0.0753  Val NMSE: 0.1994  Val NMSE_dB: -7.002763 dB  TrainTime: 4.96s
[121/500] TrainLoss: 0.005527  ValLoss: 0.005652  Val RMSE: 0.0752  Val NMSE: 0.1987  Val NMSE_dB: -7.018103 dB  TrainTime: 5.04s
[122/500] TrainLoss: 0.005532  ValLoss: 0.005676  Val RMSE: 0.0753  Val NMSE: 0.1997  Val NMSE_dB: -6.995652 dB  TrainTime: 4.85s
[123/500] TrainLoss: 0.005526  ValLoss: 0.005679  Val RMSE: 0.0754  Val NMSE: 0.1998  Val NMSE_dB: -6.993415 dB  TrainTime: 7.32s
[124/500] TrainLoss: 0.005529  ValLoss: 0.005652  Val RMSE: 0.0752  Val NMSE: 0.1989  Val NMSE_dB: -7.014644 dB  TrainTime: 4.86s
[125/500] TrainLoss: 0.005522  ValLoss: 0.005679  Val RMSE: 0.0754  Val NMSE: 0.2000  Val NMSE_dB: -6.989591 dB  TrainTime: 4.86s
[126/500] TrainLoss: 0.005526  ValLoss: 0.005660  Val RMSE: 0.0752  Val NMSE: 0.1993  Val NMSE_dB: -7.004397 dB  TrainTime: 5.15s
[127/500] TrainLoss: 0.005525  ValLoss: 0.005675  Val RMSE: 0.0753  Val NMSE: 0.1997  Val NMSE_dB: -6.996729 dB  TrainTime: 5.05s
[128/500] TrainLoss: 0.005516  ValLoss: 0.005713  Val RMSE: 0.0756  Val NMSE: 0.2011  Val NMSE_dB: -6.966220 dB  TrainTime: 4.98s
[129/500] TrainLoss: 0.005523  ValLoss: 0.005669  Val RMSE: 0.0753  Val NMSE: 0.1995  Val NMSE_dB: -7.000911 dB  TrainTime: 7.58s
[130/500] TrainLoss: 0.005519  ValLoss: 0.005659  Val RMSE: 0.0752  Val NMSE: 0.1992  Val NMSE_dB: -7.008036 dB  TrainTime: 4.72s
[131/500] TrainLoss: 0.005521  ValLoss: 0.005673  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998841 dB  TrainTime: 5.17s
[132/500] TrainLoss: 0.005512  ValLoss: 0.005681  Val RMSE: 0.0754  Val NMSE: 0.1998  Val NMSE_dB: -6.994863 dB  TrainTime: 4.51s
[133/500] TrainLoss: 0.005520  ValLoss: 0.005723  Val RMSE: 0.0757  Val NMSE: 0.2012  Val NMSE_dB: -6.964667 dB  TrainTime: 5.02s
[134/500] TrainLoss: 0.005511  ValLoss: 0.005653  Val RMSE: 0.0752  Val NMSE: 0.1988  Val NMSE_dB: -7.015542 dB  TrainTime: 5.08s
[135/500] TrainLoss: 0.005513  ValLoss: 0.005669  Val RMSE: 0.0753  Val NMSE: 0.1995  Val NMSE_dB: -7.001429 dB  TrainTime: 4.87s
[136/500] TrainLoss: 0.005510  ValLoss: 0.005729  Val RMSE: 0.0757  Val NMSE: 0.2017  Val NMSE_dB: -6.951909 dB  TrainTime: 7.07s
[137/500] TrainLoss: 0.005512  ValLoss: 0.005676  Val RMSE: 0.0753  Val NMSE: 0.1998  Val NMSE_dB: -6.994680 dB  TrainTime: 4.81s
[138/500] TrainLoss: 0.005504  ValLoss: 0.005671  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998518 dB  TrainTime: 4.49s
[139/500] TrainLoss: 0.005499  ValLoss: 0.005702  Val RMSE: 0.0755  Val NMSE: 0.2004  Val NMSE_dB: -6.981187 dB  TrainTime: 4.86s
[140/500] TrainLoss: 0.005511  ValLoss: 0.005689  Val RMSE: 0.0754  Val NMSE: 0.2002  Val NMSE_dB: -6.985580 dB  TrainTime: 4.58s
[141/500] TrainLoss: 0.005508  ValLoss: 0.005687  Val RMSE: 0.0754  Val NMSE: 0.1999  Val NMSE_dB: -6.991743 dB  TrainTime: 4.83s
[142/500] TrainLoss: 0.005512  ValLoss: 0.005684  Val RMSE: 0.0754  Val NMSE: 0.2001  Val NMSE_dB: -6.986779 dB  TrainTime: 4.89s
[143/500] TrainLoss: 0.005508  ValLoss: 0.005656  Val RMSE: 0.0752  Val NMSE: 0.1987  Val NMSE_dB: -7.017362 dB  TrainTime: 7.05s
[144/500] TrainLoss: 0.005509  ValLoss: 0.005662  Val RMSE: 0.0752  Val NMSE: 0.1993  Val NMSE_dB: -7.003858 dB  TrainTime: 5.09s
[145/500] TrainLoss: 0.005503  ValLoss: 0.005690  Val RMSE: 0.0754  Val NMSE: 0.1998  Val NMSE_dB: -6.993178 dB  TrainTime: 4.53s
[146/500] TrainLoss: 0.005500  ValLoss: 0.005704  Val RMSE: 0.0755  Val NMSE: 0.2009  Val NMSE_dB: -6.969251 dB  TrainTime: 4.81s
[147/500] TrainLoss: 0.005506  ValLoss: 0.005671  Val RMSE: 0.0753  Val NMSE: 0.1993  Val NMSE_dB: -7.003843 dB  TrainTime: 5.00s
[148/500] TrainLoss: 0.005499  ValLoss: 0.005676  Val RMSE: 0.0753  Val NMSE: 0.1996  Val NMSE_dB: -6.998928 dB  TrainTime: 4.58s
[149/500] TrainLoss: 0.005500  ValLoss: 0.005751  Val RMSE: 0.0758  Val NMSE: 0.2024  Val NMSE_dB: -6.938824 dB  TrainTime: 4.73s
[150/500] TrainLoss: 0.005512  ValLoss: 0.005690  Val RMSE: 0.0754  Val NMSE: 0.2002  Val NMSE_dB: -6.984365 dB  TrainTime: 7.38s
[151/500] TrainLoss: 0.005503  ValLoss: 0.005679  Val RMSE: 0.0754  Val NMSE: 0.1998  Val NMSE_dB: -6.993599 dB  TrainTime: 4.43s
[152/500] TrainLoss: 0.005490  ValLoss: 0.005741  Val RMSE: 0.0758  Val NMSE: 0.2019  Val NMSE_dB: -6.948248 dB  TrainTime: 4.82s
[153/500] TrainLoss: 0.005498  ValLoss: 0.005704  Val RMSE: 0.0755  Val NMSE: 0.2005  Val NMSE_dB: -6.979179 dB  TrainTime: 4.57s
[154/500] TrainLoss: 0.005491  ValLoss: 0.005698  Val RMSE: 0.0755  Val NMSE: 0.2004  Val NMSE_dB: -6.980407 dB  TrainTime: 4.84s
[155/500] TrainLoss: 0.005497  ValLoss: 0.005666  Val RMSE: 0.0753  Val NMSE: 0.1994  Val NMSE_dB: -7.003160 dB  TrainTime: 4.98s
[156/500] TrainLoss: 0.005493  ValLoss: 0.005691  Val RMSE: 0.0754  Val NMSE: 0.2001  Val NMSE_dB: -6.987601 dB  TrainTime: 7.01s
[157/500] TrainLoss: 0.005501  ValLoss: 0.005653  Val RMSE: 0.0752  Val NMSE: 0.1989  Val NMSE_dB: -7.013628 dB  TrainTime: 4.85s
[158/500] TrainLoss: 0.005501  ValLoss: 0.005661  Val RMSE: 0.0752  Val NMSE: 0.1993  Val NMSE_dB: -7.005790 dB  TrainTime: 4.85s
[159/500] TrainLoss: 0.005497  ValLoss: 0.005709  Val RMSE: 0.0756  Val NMSE: 0.2009  Val NMSE_dB: -6.969463 dB  TrainTime: 4.70s
